BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
0.07968522948849514,0.02206580794499574,0.0002057147866003555,20.1,50.4,48.6
0.08558544443733436,0.02631526455659547,0.00016459829465802705,15.6,49.4,49.6
0.10197984778592237,0.02882203956408813,0.0003423022405643258,14.0,48.7,50.3
0.10721563579752155,0.030898300574944942,0.00033428291742964103,14.0,48.3,50.7
0.11161013689541295,0.032197117215054936,0.00017313771660386896,15.7,45.7,53.3
0.11865444469916189,0.03307479466077015,0.000604061133839719,14.2,47.3,51.7
0.1277514063601922,0.03489721163097829,0.0003402719900840403,12.8,47.9,51.1
0.13348816544218822,0.03725611402615232,0.00013911757766776826,11.5,47.3,51.7
0.13658345373675349,0.03811984388840576,0.00033487614660221497,9.7,46.9,52.1
0.1399858580736007,0.03910145064479921,0.0002390238991307541,8.9,46.7,52.3
0.15054752362672208,0.040088972346720056,0.00029755773478736436,8.6,48.4,50.6
0.15178393512458227,0.043629987575862,0.00036335679276941794,6.4,49.0,50.0
0.15178393512458227,0.04704547249750484,0.0003758186382336348,5.1,51.5,47.5
0.15360067137505898,0.05088980525296545,0.0004269226401821424,3.6,45.3,53.7
0.15529394593087012,0.05152772569553721,0.00032583723397364015,3.4,45.6,53.4
0.16017467526592757,0.05248930169072993,0.00027309256130923906,3.8,46.3,52.7
0.16017467526592757,0.054829803930162055,0.00033346301082705186,3.9,45.9,53.1
0.16194677205313462,0.05390712671115068,0.0002773376832492023,3.0,47.6,51.4
0.16368607055099815,0.055760725614145835,0.00025062970211162724,3.3,48.1,50.9
0.16404625702249803,0.05729825113484024,0.00023845840997506257,3.2,47.5,51.5
0.16404625702249803,0.05848218631565316,0.00035065679215181,3.6,45.7,53.3
0.16404625702249803,0.059523171968139554,0.0002557718815834461,3.4,47.1,51.9
0.16573953157830917,0.06027201452501896,0.00036483612466634794,3.2,45.4,53.6
0.16594661269263394,0.058124918488251985,0.0004217214749928644,4.2,46.7,52.3
0.167638203045008,0.05928517958330427,0.0003356553573905604,5.1,48.4,50.6
0.1704988410166633,0.06216556819446071,0.0009867333277834094,4.8,47.0,52.0
0.1704988410166633,0.060944766344133094,0.00048310683887568367,4.2,47.5,51.5
0.17395431578272846,0.06161766637877071,0.0003271914062390419,4.9,43.3,55.7
0.17441950921542676,0.06033251264769442,0.0002769259076794583,4.2,47.3,51.7
0.17441950921542676,0.0607342430097607,0.00035291749642835937,3.9,46.5,52.5
0.17612071138385038,0.05943363419049558,0.0003255919451374971,4.9,46.8,52.2
