BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
0.07504621144552993,0.02094238350654437,0.0003048860136994458,5.2,55.7,43.3
0.08012255494135877,0.0250545801943181,0.0004224348953894935,3.4,50.3,48.7
0.09066412105624233,0.027380165635974167,0.0003780808530474735,3.3,48.5,50.5
0.09563260674312846,0.02947931211161191,0.0002966513334113097,4.4,47.6,51.4
0.09643002190100206,0.03061138930094221,0.0003892590015763316,3.8,47.4,51.6
0.09980284788243957,0.03195642532684312,0.00033888962503281016,3.5,52.5,46.5
0.09980284788243957,0.035365786389157425,0.001986893633368246,4.9,50.2,48.8
0.10419112105584385,0.03759609545300806,0.0005183972155332294,5.1,50.9,48.1
0.10419112105584385,0.03946386180620551,0.00045244355045015,4.4,48.4,50.6
0.11011972736222282,0.04078110251167103,0.00057654095849655,4.6,47.6,51.4
0.11057992452942626,0.04215743233939274,0.00038798372000698063,4.7,50.2,48.8
0.11604514714848099,0.043673269208466356,0.0008069380934485379,6.2,48.4,50.6
0.11754158354854756,0.04415882873683003,0.0004096485258525774,6.3,47.4,51.6
0.12092333547190655,0.04584518561545797,0.00022167108965506871,5.8,45.8,53.2
0.12092333547190655,0.04603631888922512,0.00025291313852520954,5.4,51.7,47.3
0.12298023486705927,0.0480941289121105,0.0006451138612509358,4.5,49.0,50.0
0.12551852127052004,0.04921688082089759,0.00022253396851799808,4.7,51.6,47.4
0.12607762977244902,0.05329328754840597,0.0006879284633974688,2.9,48.1,50.9
0.12840228147183716,0.054816018009393286,0.00028408591030160596,1.6,49.6,49.4
0.12840228147183716,0.056221557627566275,0.0003542514197800458,2.0,48.7,50.3
0.13045370682810534,0.056719639080973105,0.00032326371483141066,1.4,51.8,47.2
0.1351455930920307,0.06105995514795948,0.00096284245052723,1.3,48.4,50.6
0.1409579213785574,0.06264000058038985,0.0005928388760234639,1.9,49.1,49.9
0.1426972198764209,0.06525219185686353,0.0003377194989791845,0.6,49.3,49.7
0.14441339614462256,0.06617685215727649,0.00037316964639713934,1.1,45.4,53.6
0.14441339614462256,0.06752755672957811,0.0003572044543235868,1.4,44.9,54.1
0.14441339614462256,0.06729668572486763,0.0010720626821159494,2.3,47.5,51.5
0.14897626113313361,0.06871321160753915,0.0022161701014624803,1.9,48.4,50.6
0.14897626113313361,0.06972558451075403,0.00205664794592937,1.0,48.9,50.1
0.15582621262343355,0.07168520288818973,0.0003781825132861116,0.8,44.8,54.2
0.15752741479185714,0.06972572574700642,0.0013263820434178152,1.6,49.8,49.2
0.16094479322848243,0.07329575946981809,0.0012040975549056946,1.1,48.8,50.2
0.16268409172634593,0.07477202276477626,0.0013553472741680158,1.2,48.1,50.9
0.16268409172634593,0.07700648266737609,0.000371779294725988,1.0,47.0,52.0
0.16312392083646546,0.07868506325945698,0.0006981265659899327,2.2,48.5,50.5
0.16448045991973873,0.08162340322360326,0.00055716155894601,1.7,48.4,50.6
0.16618166208816232,0.08413815136777421,0.0012979966587471083,1.1,44.1,54.9
0.16618166208816232,0.08299343604777602,0.0003786608179960736,1.1,46.3,52.7
0.16618166208816232,0.08523526199893715,0.00071007010268679,1.0,46.0,53.0
0.16618166208816232,0.08624059187058077,0.0004976434723837854,1.7,44.3,54.7
0.16618166208816232,0.08610693404322343,0.00044474428027224997,2.4,46.6,52.4
0.1695990405247876,0.08651321033149267,0.000908790015055981,0.6,42.7,56.3
0.17129231508059875,0.0854902056148603,0.0011359166679887236,1.3,48.5,50.5
0.17129231508059875,0.08981693996817985,0.0016907864505420402,1.0,47.7,51.3
0.17129231508059875,0.09248460794586669,0.0033394661097564545,1.3,45.2,53.8
0.17129231508059875,0.08807327738811539,0.0003286251423431184,1.0,47.8,51.2
0.17129231508059875,0.08944405602901354,0.00047982988787062324,0.8,47.8,51.2
0.1747232039308363,0.09067543145177785,0.0004398905653810174,1.4,47.9,51.1
0.1747232039308363,0.09027674100768045,0.00047967854347346673,1.4,49.0,50.0
0.1747232039308363,0.09263883537767752,0.00063511222836719,1.4,48.7,50.3
0.17641647848664746,0.09418245425400663,0.0012311598558509657,1.3,49.7,49.3
0.17641647848664746,0.09533705610780839,0.00042630853438377836,1.0,47.0,52.0
0.17641647848664746,0.09425828223730887,0.0005664428974505893,1.3,48.1,50.9
0.17641647848664746,0.0946469115529927,0.0003719322226282902,1.4,47.7,51.3
0.17641647848664746,0.09399821199025986,0.00064631779326285,1.6,50.2,48.8
0.17641647848664746,0.0959876485139524,0.001156697770388753,1.4,47.5,51.5
0.17641647848664746,0.09457311825352785,0.0004164391254782874,1.1,47.2,51.8
0.17641647848664746,0.09352176385107747,0.0004001624235870736,0.7,48.8,50.2
0.17813265475484913,0.09528807267165987,0.0005897010316137388,1.5,49.0,50.0
