# {'seed': 505478, 'leaf_prob': 0.1, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.WINE_RED: 'wine_red'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.1387304170532509,0.021716910020916004,0.005487992247967705,4,50,49
G1,0.1387304170532509,0.023740673750245786,0.005400003558137873,3,57,42
G2,0.1387304170532509,0.028745705223504153,0.007941502202723303,5,48,51
G3,0.14058076705656852,0.03291867978857965,0.009084497707616239,2,46,53
G4,0.14058076705656852,0.03142010179985936,0.005122223267116546,5,55,44
G5,0.14058076705656852,0.04100326910225828,0.005634975440902778,6,50,49
G6,0.14058076705656852,0.04230562669974852,0.006203666469950803,4,51,48
G7,0.14058076705656852,0.04525751084206647,0.008309597818367119,1,45,54
G8,0.14058076705656852,0.04607419633925265,0.006807231827040216,4,44,55
G9,0.14058076705656852,0.044582906135871764,0.007850991281627447,1,43,56
G10,0.15124793290760974,0.04923116401863854,0.004795715423729463,3,48,51
G11,0.15124793290760974,0.051183908050922565,0.009579749656668352,4,52,47
G12,0.15124793290760974,0.05450631165210974,0.004934415632383586,3,47,52
G13,0.15124793290760974,0.05431386398239534,0.0051042368517000445,3,51,48
G14,0.15124793290760974,0.05625338137683842,0.007938999547525845,2,47,52
G15,0.15124793290760974,0.056656431951893176,0.008801741442317757,0,49,50
G16,0.15124793290760974,0.06592783108651928,0.007504160434651777,1,45,54
G17,0.15124793290760974,0.06908675137980749,0.008067070282361366,0,44,55
G18,0.15124793290760974,0.07221002845371666,0.007892243571381345,0,58,41
G19,0.15124793290760974,0.08224135588671015,0.005250099143699894,2,53,46
G20,0.1547519269702751,0.08789144495535356,0.008903133060188173,2,57,42
G21,0.15509633924690028,0.0936489760013541,0.006510465898493748,4,45,54
