# {'seed': 804962, 'leaf_prob': 0.1, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 0, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.05921276605688419,0.017923826345261944,0.00031796836904549107,5,54,46
G1,0.08687012205069386,0.02116026083873474,1.356957979045803e-05,0,51,49
G2,0.08687012205069386,0.02307765362625179,1.356957979045803e-05,0,51,49
G3,0.05921276605688419,0.024860034313659147,0.00031796836904549107,1,51,49
G4,0.0960613170865325,0.028833869265124306,0.00048318135702285925,0,53,47
G5,0.07190575805002825,0.03228414652976061,7.827902127537426e-05,1,52,48
G6,0.08687012205069386,0.0357127998902084,0.00031796836904549107,0,45,55
G7,0.06731066018314891,0.03569482620257248,0.00048318135702285925,0,51,49
G8,0.08687012205069386,0.038742949945166014,0.0017472033477151472,2,48,52
G9,0.10563401786440331,0.0416817695829442,0.00048318135702285925,1,54,46
G10,0.10563401786440331,0.04332177161453154,0.00048318135702285925,0,53,47
G11,0.10563401786440331,0.04418584758468053,4.09297286671355e-05,0,47,53
G12,0.10563401786440331,0.049468281160536455,0.004022814419889149,4,34,66
G13,0.10563401786440331,0.043919119254262604,0.00048318135702285925,0,47,53
G14,0.10563401786440331,0.04431573752889626,0.00048318135702285925,1,47,53
G15,0.10563401786440331,0.04717576223549317,1.356957979045803e-05,1,50,50
G16,0.10563401786440331,0.04897722564993121,0.00048318135702285925,1,62,38
G17,0.12380138036917034,0.054169032365952635,1.356957979045803e-05,0,55,45
G18,0.10563401786440331,0.060973152856946926,1.356957979045803e-05,0,55,45
G19,0.12380138036917034,0.06478854716023534,0.00048318135702285925,0,62,38
G20,0.12380138036917034,0.06979377820180817,0.00048318135702285925,0,55,45
