# {'seed': 773469, 'leaf_prob': 0.1, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.2, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.07190575805002825,0.021007711767436828,0.00018744445845371883,4,48,51
G1,0.08687012205069386,0.024685244908214946,0.00031796836904549107,3,49,50
G2,0.08687012205069386,0.02677359785818472,0.00048318135702285925,0,50,49
G3,0.08687012205069386,0.02780861435800876,0.00031796836904549107,0,49,50
G4,0.08687012205069386,0.030617350172646916,0.00048318135702285925,3,56,43
G5,0.08687012205069386,0.033865298184335625,4.09297286671355e-05,1,53,46
G6,0.08687012205069386,0.039023632765315404,0.00031796836904549107,3,55,44
G7,0.08687012205069386,0.04197332435388027,0.00048318135702285925,0,49,50
G8,0.12380138036917034,0.04250789038600862,0.00048318135702285925,3,51,48
G9,0.12380138036917034,0.05062477492007502,0.00018744445845371883,4,43,56
G10,0.12380138036917034,0.05057863513745264,0.0001675454098696106,1,51,48
G11,0.12380138036917034,0.05817380464585787,0.00048318135702285925,1,55,44
G12,0.12380138036917034,0.06434878687736406,0.00043746016120260685,1,51,48
G13,0.12380138036917034,0.0655861875182078,5.514778287443675e-06,1,45,54
G14,0.1304484460167822,0.0643161137697934,0.00021625346711387603,0,44,55
G15,0.1304484460167822,0.06238157713107956,0.00018744445845371883,0,45,54
G16,0.14164713571829352,0.06406399158769056,0.00048318135702285925,1,44,55
G17,0.15278486691933646,0.062287411376470224,5.514778287443675e-06,1,38,61
G18,0.15278486691933646,0.0554305505331299,0.00048318135702285925,1,41,58
G19,0.15278486691933646,0.05468317533034207,0.00018744445845371883,1,50,49
G20,0.15278486691933646,0.057730612169733,1.356957979045803e-05,1,54,45
G21,0.15278486691933646,0.0631498032304652,0.0005874204597814142,5,50,49
G22,0.1638964857340963,0.06995779242433747,0.00048318135702285925,6,45,54
G23,0.1638964857340963,0.06828117632205817,0.00020485392158005666,3,46,53
G24,0.1638964857340963,0.06753825173610822,1.356957979045803e-05,2,39,60
G25,0.1638964857340963,0.06395015705238523,3.2536703896502556e-05,5,47,52
G26,0.1750134064790136,0.0705576135168411,0.00048318135702285925,0,45,54
G27,0.1750134064790136,0.0699083585949563,0.00048318135702285925,2,48,51
