# {'seed': 481327, 'leaf_prob': 0.2, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.06731066018314891,0.020446928819191797,0.00020485392158005666,11,62,37
G1,0.07190575805002825,0.027092637965679307,4.09297286671355e-05,11,48,51
G2,0.07190575805002825,0.02711790623601518,0.00031796836904549107,8,55,44
G3,0.107704829007651,0.0297773721452947,0.00048318135702285925,12,49,50
G4,0.107704829007651,0.03065253417966421,0.00031796836904549107,3,43,56
G5,0.107704829007651,0.02969585454790822,0.00048318135702285925,1,49,50
G6,0.12380138036917034,0.03229844134162513,0.00048318135702285925,0,50,49
G7,0.12380138036917034,0.03556860264165806,1.356957979045803e-05,0,51,48
G8,0.12380138036917034,0.04026653484550609,4.09297286671355e-05,4,54,45
G9,0.12915823326263912,0.04516694047906236,0.00031796836904549107,0,52,47
G10,0.17607709590189274,0.04878499161450338,0.00031796836904549107,1,46,53
G11,0.17607709590189274,0.04829066563473375,0.00048318135702285925,0,59,40
G12,0.17607709590189274,0.05585287477052447,0.00048318135702285925,0,49,50
G13,0.17607709590189274,0.05963467143808793,0.0001675454098696106,1,45,54
G14,0.17607709590189274,0.054418774081601846,0.00048318135702285925,2,51,48
G15,0.17607709590189274,0.06082250360162367,0.00048318135702285925,2,42,57
G16,0.2100218631442403,0.061023892865967676,0.00048318135702285925,2,45,54
G17,0.2100218631442403,0.06025772385796931,0.00048318135702285925,3,44,55
G18,0.2100218631442403,0.05740102888902758,0.00048318135702285925,2,44,55
G19,0.2100218631442403,0.056723423449919236,0.00048318135702285925,6,42,57
G20,0.2100218631442403,0.05452739192188325,0.0035719888987270068,3,41,58
G21,0.2100218631442403,0.050769981007221784,0.00048318135702285925,1,51,48
G22,0.2100218631442403,0.05436746440289006,0.00048318135702285925,2,55,44
