# {'seed': 540507, 'leaf_prob': 0.1, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.8, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.0960613170865325,0.021163425602718475,0.00048318135702285925,3,62,37
G1,0.10563401786440331,0.02762006341197222,0.00048318135702285925,2,48,51
G2,0.11914944604218713,0.030366248751230347,0.00048318135702285925,0,55,44
G3,0.11914944604218713,0.0361146464699655,0.00048318135702285925,5,50,49
G4,0.11914944604218713,0.042259545660051606,0.00031796836904549107,5,49,50
G5,0.11914944604218713,0.043741632671208966,0.00031796836904549107,0,43,56
G6,0.11914944604218713,0.04478441780070285,0.00031796836904549107,1,46,53
G7,0.12380138036917034,0.04330923930314433,0.00042158729847655317,2,49,50
G8,0.12380138036917034,0.04674210543395488,1.356957979045803e-05,2,46,53
G9,0.12380138036917034,0.04840393151229116,0.00048318135702285925,1,47,52
G10,0.12380138036917034,0.052998000417524276,0.00031796836904549107,1,47,52
G11,0.12380138036917034,0.05539278259320025,0.00048318135702285925,0,43,56
G12,0.12380138036917034,0.06073308641688217,0.00031796836904549107,0,51,48
G13,0.12380138036917034,0.06823393630894836,0.00031796836904549107,1,41,58
G14,0.12380138036917034,0.06621894529613245,1.356957979045803e-05,3,45,54
G15,0.12380138036917034,0.07062541908058452,0.00048318135702285925,0,40,59
G16,0.12380138036917034,0.07018142135527189,0.00048318135702285925,1,48,51
G17,0.12380138036917034,0.07123974013728154,1.356957979045803e-05,0,45,54
G18,0.12380138036917034,0.07175263971541736,0.00031796836904549107,1,48,51
G19,0.12380138036917034,0.07550192403614792,0.00048318135702285925,1,42,57
G20,0.12380138036917034,0.07852631635833209,0.00048318135702285925,1,39,60
G21,0.12380138036917034,0.0813326602188992,1.356957979045803e-05,2,44,55
G22,0.12380138036917034,0.08506941915454284,0.000710788524116923,0,37,62
G23,0.12380138036917034,0.08063160083826303,0.00048318135702285925,2,37,62
G24,0.12380138036917034,0.083338907574818,0.00048318135702285925,0,40,59
G25,0.12380138036917034,0.08447833877154345,0.00048318135702285925,0,42,57
G26,0.12380138036917034,0.08625336908422097,5.514778287443675e-06,0,37,62
G27,0.14152234824124107,0.08833732141019005,0.00048318135702285925,0,46,53
G28,0.14152234824124107,0.08864949775246464,0.0017472033477151472,0,44,55
