# {'seed': 248628, 'leaf_prob': 0.1, 'mutation_prob': 0.05, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.07190575805002825,0.019614097677689582,4.09297286671355e-05,3,57,42
G1,0.08415475742128092,0.02453308152610416,0.00031796836904549107,2,41,58
G2,0.08415475742128092,0.02656935774756405,0.00048318135702285925,0,51,48
G3,0.08415475742128092,0.032758675356828026,0.00048318135702285925,1,54,45
G4,0.08415475742128092,0.04222177579805704,0.0017472033477151472,3,57,42
G5,0.08415475742128092,0.04579524382805956,1.356957979045803e-05,2,53,46
G6,0.08415475742128092,0.05116329397613328,0.00048318135702285925,3,49,50
G7,0.08415475742128092,0.05566527336765342,0.00048318135702285925,6,55,44
G8,0.08415475742128092,0.057067445367344295,0.00048318135702285925,2,49,50
G9,0.09465017092610108,0.055372546001753585,0.00042158729847655317,1,41,58
G10,0.09465017092610108,0.05605345396680684,0.00048318135702285925,2,49,50
G11,0.09465017092610108,0.05443065922150997,0.00031796836904549107,0,49,50
G12,0.09465017092610108,0.05278977667526064,0.00042158729847655317,0,47,52
G13,0.09465017092610108,0.05649257499944233,0.00048318135702285925,0,53,46
G14,0.09465017092610108,0.06336563124347752,0.00020485392158005666,2,45,54
G15,0.09465017092610108,0.062254447289660855,0.002776585570239405,0,46,53
G16,0.09465017092610108,0.06189794801671758,1.356957979045803e-05,5,50,49
G17,0.09465017092610108,0.06233687416504027,0.00048318135702285925,2,57,42
G18,0.09465017092610108,0.06407580718266886,5.2901385276787945e-05,7,60,39
G19,0.09465017092610108,0.06971113264773698,0.00048318135702285925,3,57,42
G20,0.09465017092610108,0.06657960647394594,0.00048318135702285925,1,55,44
G21,0.10849523409043232,0.0740593440415872,0.0012940641521512217,5,50,49
G22,0.10849523409043232,0.07940417163852556,0.00048318135702285925,6,39,60
G23,0.12448591419565842,0.0766840249990107,0.00048318135702285925,4,42,57
