# {'seed': 971708, 'leaf_prob': 0.1, 'swap_terminal_prob': 0.4, 'swap_operator_prob': 0.4, 'crossover_prob': 0.5, 'population_size': 30, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.05921276605688419,0.02056557798762234,0.00048318135702285925,1,18,11
G1,0.05921276605688419,0.028126801715314103,0.00048318135702285925,2,14,15
G2,0.05921276605688419,0.026657902422511575,0.00048318135702285925,1,16,14
G3,0.07190575805002825,0.0287700955301704,0.00048318135702285925,1,16,13
G4,0.07190575805002825,0.032122020678331274,0.0009036810677518624,0,16,14
G5,0.08687012205069386,0.03837842641341056,0.0003753493090296997,0,13,16
G6,0.08687012205069386,0.040065102794851724,1.356957979045803e-05,1,13,17
G7,0.12380138036917034,0.04267762194831297,0.0017472033477151472,0,11,18
G8,0.12380138036917034,0.03868964200820057,0.00048318135702285925,0,14,15
G9,0.12380138036917034,0.04098148968014585,0.00270034382302604,0,13,17
G10,0.12380138036917034,0.04177358849890411,0.007749803551499678,1,11,18
G11,0.12380138036917034,0.038001876961732496,0.00048318135702285925,0,11,19
G12,0.12380138036917034,0.040391268513752895,0.0017472033477151472,1,14,15
G13,0.12380138036917034,0.04833057145307232,0.016781291760210985,0,19,11
G14,0.12380138036917034,0.0593573036795017,0.0009036810677518624,4,15,15
G15,0.12380138036917034,0.05528112860985669,0.00048318135702285925,2,11,19
G16,0.12380138036917034,0.04888886037301769,0.00048318135702285925,2,14,16
G17,0.12380138036917034,0.05059796115261513,0.00048318135702285925,0,11,18
G18,0.12380138036917034,0.047522974696245786,0.00048318135702285925,1,12,18
G19,0.12380138036917034,0.04518882731076238,0.00048318135702285925,2,20,10
G20,0.12380138036917034,0.057688196652941975,0.016781291760210985,1,12,18
G21,0.12380138036917034,0.048126409668236385,0.00020485392158005666,0,16,14
G22,0.12380138036917034,0.0494046835798135,0.00048318135702285925,0,14,15
G23,0.12380138036917034,0.05481363469167568,0.016781291760210985,1,15,15
