# {'seed': 805189, 'leaf_prob': 0.1, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 5, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.06731066018314891,0.021446886174024415,0.00048318135702285925,3,70,29
G1,0.07190575805002825,0.029749701441273674,1.356957979045803e-05,9,58,41
G2,0.07190575805002825,0.035635558291016084,5.514778287443675e-06,15,61,38
G3,0.14152234824124107,0.0452651876326503,0.00031796836904549107,20,50,49
G4,0.14152234824124107,0.044385578405980376,0.00048318135702285925,22,53,46
G5,0.14152234824124107,0.04733337629776073,1.356957979045803e-05,14,50,49
G6,0.14152234824124107,0.050662896613554345,0.00031796836904549107,12,52,47
G7,0.14152234824124107,0.05188110196718489,0.00048318135702285925,7,53,46
G8,0.14152234824124107,0.059110644304569825,0.00048318135702285925,10,40,59
G9,0.14152234824124107,0.057135231791005,0.00048318135702285925,11,36,63
G10,0.14152234824124107,0.047994786916477565,0.0017472033477151472,14,55,44
G11,0.14152234824124107,0.06344669968256493,0.00031796836904549107,22,48,51
G12,0.14152234824124107,0.07385954905849426,0.00048318135702285925,43,41,58
G13,0.14152234824124107,0.07320906039948445,0.0017472033477151472,63,40,59
G14,0.14152234824124107,0.07526815007469997,0.00048318135702285925,76,45,54
G15,0.14152234824124107,0.0795897102630147,0.0035719888987270068,78,26,73
G16,0.14152234824124107,0.07051253542139654,0.00048318135702285925,75,51,48
G17,0.14152234824124107,0.08592920839084471,0.00048318135702285925,77,30,69
G18,0.14152234824124107,0.07160018611359419,0.00048318135702285925,73,37,62
G19,0.14152234824124107,0.07572226063581264,0.00048318135702285925,77,41,58
G20,0.14152234824124107,0.07701104470234679,0.00048318135702285925,70,37,62
G21,0.14152234824124107,0.07486869376576567,0.0017472033477151472,77,41,58
G22,0.14152234824124107,0.07915804148532674,0.00048318135702285925,73,25,74
G23,0.14152234824124107,0.054493162488998666,0.00048318135702285925,73,48,51
G24,0.14152234824124107,0.06520834214820104,0.0006324094420637023,70,52,47
G25,0.14152234824124107,0.08111677602500464,0.0035719888987270068,69,34,65
G26,0.14152234824124107,0.07166005794655204,0.0035719888987270068,77,38,61
G27,0.14152234824124107,0.06891792438993845,0.00048318135702285925,66,39,60
G28,0.14152234824124107,0.06670270228824558,0.00048318135702285925,74,47,52
G29,0.14152234824124107,0.07757780691766775,5.514778287443675e-06,70,38,61
G30,0.14152234824124107,0.07456727117032116,0.00048318135702285925,74,54,45
G31,0.14152234824124107,0.07874503433900809,0.00048318135702285925,77,42,57
G32,0.14152234824124107,0.08102731644261577,0.00048318135702285925,75,40,59
G33,0.14152234824124107,0.0840306449730246,0.00048318135702285925,75,40,59
G34,0.14152234824124107,0.08659587256336736,0.00048318135702285925,75,28,71
G35,0.14152234824124107,0.06558768813538825,0.00048318135702285925,72,45,54
G36,0.14152234824124107,0.07958165602438844,0.0012940641521512217,74,37,62
G37,0.14152234824124107,0.07967906193044398,0.0017472033477151472,77,44,55
G38,0.14152234824124107,0.08209273370249826,0.00048318135702285925,75,39,60
G39,0.14152234824124107,0.07867697595139328,0.00048318135702285925,77,43,56
G40,0.14152234824124107,0.08306561772113798,0.0006324094420637023,74,44,55
G41,0.14152234824124107,0.07945156446483673,0.0017472033477151472,70,37,62
G42,0.14152234824124107,0.07457982464553167,0.00048318135702285925,78,43,56
G43,0.14152234824124107,0.07029846647972651,0.00048318135702285925,76,39,60
G44,0.14152234824124107,0.06890761631880168,0.00048318135702285925,76,52,47
G45,0.14152234824124107,0.08290874322075462,0.00048318135702285925,71,33,66
G46,0.14152234824124107,0.07120584820362337,0.00048318135702285925,76,45,54
G47,0.14152234824124107,0.08497037852551999,0.00048318135702285925,79,38,61
G48,0.14152234824124107,0.07947320355747606,0.00048318135702285925,78,47,52
G49,0.14152234824124107,0.08608247035637834,0.00048318135702285925,76,38,61
G50,0.14152234824124107,0.0816185698123032,0.00048318135702285925,74,40,59
G51,0.14152234824124107,0.07619534415576794,0.0017472033477151472,77,45,54
G52,0.14152234824124107,0.08140959323537217,0.0035719888987270068,79,36,63
G53,0.14152234824124107,0.07051835988991152,0.00048318135702285925,72,34,65
G54,0.14152234824124107,0.06742349139688812,0.0017472033477151472,71,54,45
G55,0.14152234824124107,0.0866223220893686,0.00048318135702285925,79,41,58
G56,0.14152234824124107,0.08229772014688497,0.00048318135702285925,77,38,61
G57,0.14152234824124107,0.06607100953886326,0.00048318135702285925,67,55,44
G58,0.14152234824124107,0.0839540144691076,0.00048318135702285925,73,32,67
G59,0.14152234824124107,0.07060838443473778,0.00048318135702285925,73,48,51
G60,0.14152234824124107,0.07299300462696331,0.0017472033477151472,73,42,57
G61,0.14152234824124107,0.07821827149834852,0.00048318135702285925,76,47,52
G62,0.14152234824124107,0.0745672018869264,0.0017472033477151472,77,47,52
G63,0.14152234824124107,0.07452874102546563,0.0017472033477151472,73,35,64
G64,0.14152234824124107,0.06412580808906748,0.00048318135702285925,71,52,47
G65,0.14152234824124107,0.08223695373577908,0.0017472033477151472,75,44,55
G66,0.14152234824124107,0.09229314827337905,0.00048318135702285925,80,36,63
G67,0.14152234824124107,0.07914692823167098,0.00048318135702285925,74,41,58
G68,0.14152234824124107,0.07972387683606273,0.00048318135702285925,76,32,67
G69,0.14152234824124107,0.06979630708023508,0.00048318135702285925,81,44,55
G70,0.14152234824124107,0.0794908235198646,0.00048318135702285925,71,39,60
G71,0.14152234824124107,0.08025009798653972,0.005301518880280824,74,41,58
G72,0.14152234824124107,0.08359780127952267,0.00048318135702285925,78,36,63
G73,0.14152234824124107,0.076926088834574,0.00048318135702285925,77,37,62
G74,0.14152234824124107,0.06915412923730066,0.00048318135702285925,72,50,49
G75,0.14152234824124107,0.08102641175051574,0.0017472033477151472,70,37,62
G76,0.14152234824124107,0.06976488961109384,0.0017472033477151472,77,36,63
G77,0.14152234824124107,0.0662360022281495,0.0035719888987270068,76,47,52
G78,0.14152234824124107,0.07187150842468686,0.00048318135702285925,71,52,47
G79,0.14152234824124107,0.07919228956879248,0.00048318135702285925,76,40,59
G80,0.14152234824124107,0.0773448725309904,0.00048318135702285925,77,38,61
G81,0.14152234824124107,0.0785822245909724,0.0017472033477151472,73,45,54
G82,0.14152234824124107,0.07548176200749954,0.00048318135702285925,66,42,57
G83,0.14152234824124107,0.0732837350894918,0.00048318135702285925,72,51,48
G84,0.14152234824124107,0.08883183542770887,0.00048318135702285925,80,39,60
G85,0.14152234824124107,0.09090783474103105,0.00048318135702285925,79,38,61
G86,0.14152234824124107,0.08437428927262207,0.0035719888987270068,79,35,64
G87,0.14152234824124107,0.06761187000865373,0.0017472033477151472,70,39,60
G88,0.14152234824124107,0.0685859809327892,0.00048318135702285925,65,49,50
