# {'seed': 971708, 'leaf_prob': 0.1, 'mutation_prob': 0.05, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 500, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 30, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.10563401786440331,0.02057192927642179,0.00012221647083594456,42,269,230
G1,0.10563401786440331,0.024465329713777642,0.00031796836904549107,34,266,233
G2,0.10563401786440331,0.027478341327380626,0.00031796836904549107,33,273,226
G3,0.10563401786440331,0.03151518391131312,0.00048318135702285925,29,270,229
G4,0.1930891175861288,0.03615188097561082,0.00048318135702285925,21,264,235
G5,0.1930891175861288,0.041645369284827365,0.00048318135702285925,21,259,240
G6,0.1930891175861288,0.0472454948945772,0.00031796836904549107,13,248,251
G7,0.1930891175861288,0.05111422714905506,0.00048318135702285925,15,263,236
G8,0.1930891175861288,0.059900114422945364,1.356957979045803e-05,13,272,227
G9,0.1930891175861288,0.0671827424593709,4.09297286671355e-05,13,267,232
G10,0.2269377666679807,0.07433780781450917,5.514778287443675e-06,10,241,258
G11,0.2269377666679807,0.07652024046217362,0.00018744445845371883,16,239,260
G12,0.2269377666679807,0.08092814432039158,1.356957979045803e-05,12,230,269
G13,0.2269377666679807,0.08443086462484407,1.356957979045803e-05,15,227,272
G14,0.2269377666679807,0.09087588456218733,4.09297286671355e-05,9,162,337
G15,0.2269377666679807,0.08888527152281964,1.356957979045803e-05,7,195,304
G16,0.2269377666679807,0.09033827971116304,4.09297286671355e-05,16,187,312
G17,0.2269377666679807,0.09495665684145467,0.00048318135702285925,8,155,344
G18,0.2269377666679807,0.09403795418292313,3.2536703896502556e-05,4,166,333
G19,0.2269377666679807,0.09349328473676881,0.00031796836904549107,9,191,308
G20,0.2269377666679807,0.09633681541824062,4.09297286671355e-05,8,195,304
G21,0.2269377666679807,0.09860268987413744,5.514778287443675e-06,1,172,327
G22,0.2269377666679807,0.09689170839081301,0.00048318135702285925,5,195,304
G23,0.2269377666679807,0.0997775910345863,0.00048318135702285925,4,211,288
G24,0.2269377666679807,0.10114690316793246,4.09297286671355e-05,16,214,285
G25,0.2269377666679807,0.10344973493759235,0.00018744445845371883,8,217,282
G26,0.2269377666679807,0.10351999164948306,0.00048318135702285925,10,211,288
G27,0.2269377666679807,0.099998720203941,4.09297286671355e-05,7,244,255
G28,0.2269377666679807,0.10281430755145082,0.00018744445845371883,11,233,266
G29,0.24389340781837832,0.10160851781815608,4.09297286671355e-05,7,240,259
T,0.12562537992157202,0,0,0,0,0
# --- 53.029520750045776 seconds ---
