# {'seed': 971708, 'leaf_prob': 0.1, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.6, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.07190575805002825,0.021287483404650233,0.00048318135702285925,5,61,38
G1,0.07190575805002825,0.02535350490338313,0.00031796836904549107,10,53,46
G2,0.07190575805002825,0.030454220145692327,0.00048318135702285925,14,57,42
G3,0.07190575805002825,0.03471485362129518,0.00048318135702285925,13,43,56
G4,0.07190575805002825,0.034705979320810466,0.00031796836904549107,13,47,52
G5,0.07190575805002825,0.03621989506770932,4.09297286671355e-05,14,49,50
G6,0.07190575805002825,0.04082758935534778,0.0009036810677518624,12,43,56
G7,0.07190575805002825,0.043195047622897345,0.00048318135702285925,19,44,55
G8,0.07190575805002825,0.04202020743099508,0.00048318135702285925,24,46,53
G9,0.07190575805002825,0.042922666414961785,0.00048318135702285925,29,55,44
G10,0.07190575805002825,0.04685111956925225,0.00048318135702285925,35,42,57
G11,0.07190575805002825,0.04310093505356027,0.00048318135702285925,42,43,56
G12,0.07190575805002825,0.04103521173741365,0.0,40,51,48
G13,0.07190575805002825,0.04251173453109252,0.00020485392158005666,34,48,51
G14,0.08687012205069386,0.04266862541947751,0.00048318135702285925,29,46,53
G15,0.08687012205069386,0.04434387410871322,0.00048318135702285925,37,48,51
G16,0.08687012205069386,0.04539279734407868,0.0017472033477151472,45,44,55
G17,0.08687012205069386,0.042287121588683495,0.00048318135702285925,44,49,50
G18,0.08687012205069386,0.04336051663394418,0.00031796836904549107,37,40,59
G19,0.08687012205069386,0.042080919742806436,0.00048318135702285925,35,50,49
G20,0.08687012205069386,0.04586597387979814,0.0035719888987270068,29,47,52
G21,0.08687012205069386,0.048833973418277894,0.00048318135702285925,31,45,54
G22,0.08687012205069386,0.048848086377212524,0.0035719888987270068,36,54,45
G23,0.08687012205069386,0.04968569810603905,0.00048318135702285925,28,44,55
G24,0.08687012205069386,0.051189042697828445,0.00031796836904549107,35,39,60
G25,0.08687012205069386,0.04519577048010297,1.356957979045803e-05,36,42,57
G26,0.08687012205069386,0.04636536561905209,0.00048318135702285925,32,45,54
G27,0.08687012205069386,0.04991453947269649,0.005301518880280824,39,47,52
G28,0.08687012205069386,0.050580028934789086,0.00048318135702285925,36,47,52
G29,0.08687012205069386,0.04700356887048154,0.00048318135702285925,33,41,58
G30,0.08687012205069386,0.04724268192268173,0.0001300266442531566,26,46,53
G31,0.08687012205069386,0.04953572048657449,0.00018744445845371883,20,39,60
G32,0.08687012205069386,0.0473266864257493,0.00048318135702285925,15,40,59
G33,0.08687012205069386,0.04421790792475726,0.00017182947129474737,9,46,53
G34,0.12380138036917034,0.04533960827970146,0.00031796836904549107,11,52,47
G35,0.12380138036917034,0.05161991598608085,0.00048318135702285925,16,42,57
G36,0.158915333219876,0.04867758389846542,0.00048318135702285925,16,42,57
G37,0.158915333219876,0.05053433497636262,0.00048318135702285925,11,51,48
G38,0.158915333219876,0.05753219088090338,0.00048318135702285925,12,45,54
G39,0.158915333219876,0.058807665186395706,0.00048318135702285925,14,37,62
G40,0.158915333219876,0.05852246375935912,0.00048318135702285925,12,38,61
G41,0.158915333219876,0.057304833722893196,0.00048318135702285925,10,49,50
G42,0.158915333219876,0.0648671387296896,0.0017472033477151472,16,42,57
G43,0.158915333219876,0.06546845371064754,0.00020485392158005666,7,39,60
G44,0.158915333219876,0.0647275612059537,0.007056250846448204,10,36,63
G45,0.158915333219876,0.05721192397005021,0.00020485392158005666,7,50,49
G46,0.158915333219876,0.06411014616640898,0.00048318135702285925,8,40,59
G47,0.158915333219876,0.058850800046496426,0.00031796836904549107,9,51,48
G48,0.158915333219876,0.059053969154028094,0.00048318135702285925,10,48,51
G49,0.158915333219876,0.062319425105043826,0.00048318135702285925,7,40,59
G50,0.158915333219876,0.06140091173499484,0.00048318135702285925,7,40,59
G51,0.158915333219876,0.06500723979543785,0.00048318135702285925,5,48,51
G52,0.158915333219876,0.06654000335898445,0.00048318135702285925,9,37,62
G53,0.158915333219876,0.06500557891562839,0.00048318135702285925,5,38,61
G54,0.158915333219876,0.06197660745817811,0.00048318135702285925,5,42,57
G55,0.158915333219876,0.059513125286665504,0.016781291760210985,8,49,50
G56,0.158915333219876,0.06520875672766677,0.004022814419889149,9,40,59
G57,0.158915333219876,0.06843832362877623,0.016781291760210985,11,33,66
G58,0.158915333219876,0.06292046282824415,0.0009036810677518624,8,41,58
G59,0.158915333219876,0.06369669369631659,0.00020485392158005666,9,43,56
G60,0.158915333219876,0.06854352006231738,0.016781291760210985,11,35,64
