# {'seed': 775241, 'leaf_prob': 0.1, 'mutation_prob': 0.05, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.6, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.07190575805002825,0.018698764329038095,0.00020485392158005666,7,52,47
G1,0.07190575805002825,0.024760941401195554,4.09297286671355e-05,14,51,48
G2,0.07190575805002825,0.028631766694301963,0.00048318135702285925,22,55,44
G3,0.14152234824124107,0.03488317757083793,0.00048318135702285925,26,41,58
G4,0.14152234824124107,0.03433541707266017,0.00048318135702285925,30,51,48
G5,0.14152234824124107,0.04434483552019479,4.09297286671355e-05,37,49,50
G6,0.14152234824124107,0.050121882111273545,0.0035719888987270068,43,35,64
G7,0.14152234824124107,0.04890346498266209,0.00048318135702285925,42,49,50
G8,0.14152234824124107,0.05884440835922053,0.00048318135702285925,52,37,62
G9,0.14152234824124107,0.049343382383815665,0.0035719888987270068,56,49,50
G10,0.14152234824124107,0.054282883633695246,0.00048318135702285925,60,44,55
G11,0.14152234824124107,0.05614438797719063,0.00048318135702285925,64,48,51
G12,0.14152234824124107,0.06434238588065698,0.00048318135702285925,64,37,62
G13,0.14152234824124107,0.06508441266729399,0.0017472033477151472,71,39,60
G14,0.14152234824124107,0.07290407068954145,0.00048318135702285925,69,41,58
G15,0.14152234824124107,0.08151971628999644,0.008293372272502453,71,39,60
G16,0.14152234824124107,0.08614735136161283,0.00048318135702285925,76,43,56
G17,0.14152234824124107,0.09593870857059014,0.008868197423195136,83,31,68
G18,0.14152234824124107,0.08628265968052456,0.0035719888987270068,81,38,61
G19,0.14152234824124107,0.07775215046610211,0.00048318135702285925,75,41,58
G20,0.14152234824124107,0.09587255715598317,0.0035719888987270068,83,39,60
G21,0.14152234824124107,0.10583305460573551,0.0017472033477151472,83,20,79
G22,0.14152234824124107,0.09543833387766737,0.0035719888987270068,82,30,69
G23,0.14152234824124107,0.08863177655002616,0.00048318135702285925,82,42,57
G24,0.14152234824124107,0.09956645497413423,0.00048318135702285925,82,30,69
G25,0.14152234824124107,0.09524430217025304,0.00048318135702285925,85,34,65
G26,0.14152234824124107,0.09531087539859297,0.0035719888987270068,84,33,66
G27,0.14152234824124107,0.08866337976682127,0.00048318135702285925,85,31,68
G28,0.14152234824124107,0.09554523845246987,0.00048318135702285925,88,30,69
G29,0.14152234824124107,0.0976784808430116,0.00048318135702285925,88,36,63
G30,0.14152234824124107,0.10829098141859117,0.005301518880280824,83,25,74
G31,0.14152234824124107,0.09600412338545976,0.008293372272502453,86,28,71
G32,0.14152234824124107,0.09089001705617622,0.00048318135702285925,84,40,59
G33,0.14152234824124107,0.10299163348290115,0.0006324094420637023,86,23,76
