# {'seed': 971708, 'leaf_prob': 0.1, 'mutation_prob': 0.05, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.07190575805002825,0.021287483404650233,0.00048318135702285925,5,59,40
G1,0.07190575805002825,0.025172293670528943,0.00048318135702285925,3,54,45
G2,0.07190575805002825,0.02881621477774854,0.00048318135702285925,3,57,42
G3,0.07190575805002825,0.03170236309064281,0.00048318135702285925,4,49,50
G4,0.07190575805002825,0.0349194402246532,0.00048318135702285925,4,51,48
G5,0.07190575805002825,0.03675199588869329,0.00048318135702285925,3,56,43
G6,0.07190575805002825,0.039261629871847795,0.00048318135702285925,5,52,47
G7,0.07190575805002825,0.04093360660649594,0.00048318135702285925,2,44,55
G8,0.07190575805002825,0.042283738235903874,1.356957979045803e-05,3,50,49
G9,0.07190575805002825,0.04335030604181979,0.0017472033477151472,2,52,47
G10,0.0960613170865325,0.04362423848884769,0.00048318135702285925,2,48,51
G11,0.0960613170865325,0.04346454506344471,0.00048318135702285925,5,46,53
G12,0.0960613170865325,0.04293142565477231,4.09297286671355e-05,0,53,46
G13,0.0960613170865325,0.04599722332733471,0.00048318135702285925,3,39,60
G14,0.0960613170865325,0.0424326206498956,1.356957979045803e-05,1,56,43
G15,0.0960613170865325,0.04591784755779145,0.0017472033477151472,3,45,54
G16,0.0960613170865325,0.04414222276627635,0.00048318135702285925,4,51,48
G17,0.0960613170865325,0.04828612596609017,0.0017472033477151472,2,43,56
G18,0.09752454774606373,0.04767812681802128,0.00048318135702285925,0,52,47
G19,0.107704829007651,0.0501603105862442,4.09297286671355e-05,2,53,46
G20,0.107704829007651,0.05271479268739036,0.00031796836904549107,0,50,49
G21,0.107704829007651,0.054138851693524066,0.00048318135702285925,2,47,52
G22,0.14512421295624003,0.052640168983839004,0.00048318135702285925,4,51,48
G23,0.14512421295624003,0.05309449465857799,0.00031796836904549107,1,56,43
G24,0.14512421295624003,0.05900950972110972,0.00012221647083594456,9,57,42
G25,0.14512421295624003,0.06446700383212943,0.008868197423195136,3,50,49
G26,0.14512421295624003,0.06708118276795806,0.00048318135702285925,4,46,53
G27,0.2100218631442403,0.07139076950367058,1.356957979045803e-05,3,50,49
G28,0.2100218631442403,0.08159153362954706,0.008129809601887505,6,47,52
G29,0.2100218631442403,0.07918013723250715,0.0015174266926645367,4,39,60
G30,0.2100218631442403,0.07214772889956625,0.00048318135702285925,4,56,43
G31,0.2100218631442403,0.08742556148258349,0.00048318135702285925,2,52,47
G32,0.2100218631442403,0.10007513835744039,0.002404721902702464,7,51,48
G33,0.2100218631442403,0.10716333176147151,1.356957979045803e-05,5,51,48
G34,0.2100218631442403,0.11839626780972778,0.008868197423195136,3,56,43
G35,0.2100218631442403,0.13563706614559468,0.002404721902702464,2,48,51
G36,0.2100218631442403,0.14552235404002434,0.00048318135702285925,2,52,47
G37,0.2100218631442403,0.15783017939578586,0.00048318135702285925,4,46,53
G38,0.2100218631442403,0.16241277079653418,0.0012940641521512217,5,44,55
G39,0.2100218631442403,0.1527617352920992,0.004022814419889149,3,33,66
G40,0.2100218631442403,0.1312049484787897,0.00048318135702285925,2,48,51
G41,0.2269377666679807,0.13251790703763525,1.356957979045803e-05,1,52,47
G42,0.2269377666679807,0.15770805645524866,1.356957979045803e-05,6,41,58
G43,0.2269377666679807,0.1501630329330495,0.00031796836904549107,5,48,51
G44,0.2269377666679807,0.16959278543746914,0.00020485392158005666,3,37,62
G45,0.2269377666679807,0.1484519565502352,0.00018744445845371883,4,47,52
G46,0.2269377666679807,0.14778543593032878,0.004624457549216832,3,46,53
G47,0.2269377666679807,0.14629073107968535,0.0009036810677518624,6,41,58
G48,0.2269377666679807,0.1258344971666353,0.00048318135702285925,1,47,52
G49,0.2269377666679807,0.12253032105878353,0.00048318135702285925,2,49,50
G50,0.2269377666679807,0.12395664166758541,0.002404721902702464,4,47,52
G51,0.2269377666679807,0.12281238957403237,0.0017472033477151472,2,41,58
G52,0.2269377666679807,0.11735684551241547,0.00048318135702285925,1,52,47
G53,0.2269377666679807,0.13137269211507496,0.0005874204597814142,3,46,53
G54,0.2269377666679807,0.1300355490869585,4.09297286671355e-05,5,53,46
G55,0.2269377666679807,0.1398868992138972,4.09297286671355e-05,2,48,51
G56,0.2269377666679807,0.14388040914868402,0.00048318135702285925,1,55,44
G57,0.2269377666679807,0.15862882031930994,0.007755187495146498,4,48,51
G58,0.2269377666679807,0.1574466562880481,0.0020370879755711494,6,45,54
G59,0.2269377666679807,0.1584288276933272,0.004624457549216832,6,44,55
G60,0.2269377666679807,0.15490329458187874,0.0009036810677518624,7,51,48
G61,0.2269377666679807,0.1499125511805829,0.013053444551810118,2,45,54
G62,0.2269377666679807,0.13716281426741087,0.00048318135702285925,4,46,53
G63,0.2269377666679807,0.13706850695327122,0.00048318135702285925,1,47,52
G64,0.2269377666679807,0.14333584888321194,0.0009036810677518624,3,50,49
G65,0.2269377666679807,0.13747119364070326,0.00048318135702285925,2,42,57
G66,0.2269377666679807,0.13509726557652205,0.003232970128446159,5,45,54
G67,0.2269377666679807,0.13470071638483871,0.00048318135702285925,3,44,55
G68,0.2269377666679807,0.13283197397576774,0.001430278356734179,2,45,54
G69,0.2269377666679807,0.1285020035260759,0.0017472033477151472,5,42,57
G70,0.2269377666679807,0.12578498228767024,0.002404721902702464,3,63,36
G71,0.2269377666679807,0.14850694440303333,0.00020485392158005666,3,55,44
G72,0.2269377666679807,0.15520889763515924,0.0012940641521512217,5,40,59
G73,0.2269377666679807,0.1400067744668329,0.0009036810677518624,6,51,48
G74,0.2269377666679807,0.14877086696561195,0.00048318135702285925,7,46,53
G75,0.2269377666679807,0.14143504543870816,0.00031796836904549107,5,48,51
G76,0.2269377666679807,0.1319719191525625,0.00020485392158005666,2,51,48
G77,0.2269377666679807,0.1383526486381186,4.09297286671355e-05,3,52,47
G78,0.2269377666679807,0.168207695321107,0.007056250846448204,5,49,50
G79,0.2269377666679807,0.16934702673930424,0.003232970128446159,6,37,62
G80,0.2269377666679807,0.13997512643543686,0.001668923246851492,3,42,57
G81,0.2269377666679807,0.14094122228746434,0.0022721764928584818,4,45,54
G82,0.2269377666679807,0.14522217054403988,0.00031796836904549107,8,48,51
G83,0.2269377666679807,0.14686001982318933,0.007749803551499678,5,56,43
G84,0.2269377666679807,0.15248376555318532,0.008868197423195136,2,55,44
G85,0.2269377666679807,0.15014907810901373,0.008868197423195136,4,47,52
G86,0.2269377666679807,0.14288088137283536,4.09297286671355e-05,9,45,54
G87,0.2269377666679807,0.13498716862247312,0.00048318135702285925,3,54,45
G88,0.2269377666679807,0.14637607247939977,0.00048318135702285925,5,45,54
G89,0.2269377666679807,0.14458978836648528,0.00048318135702285925,5,58,41
G90,0.2269377666679807,0.16450896643925708,0.0017472033477151472,8,42,57
G91,0.2269377666679807,0.1449800291956627,0.00048318135702285925,3,54,45
G92,0.2269377666679807,0.14246899770175112,0.00043746016120260685,3,50,49
G93,0.2269377666679807,0.13883977527404961,0.00048318135702285925,3,52,47
G94,0.2269377666679807,0.14057077228478343,0.0009036810677518624,3,48,51
G95,0.2269377666679807,0.13187035026993166,1.356957979045803e-05,2,54,45
G96,0.2269377666679807,0.13246660531954016,0.001668923246851492,0,52,47
G97,0.2269377666679807,0.13683550947877834,0.0009036810677518624,2,48,51
G98,0.2269377666679807,0.13057548094922913,0.00031796836904549107,0,58,41
G99,0.24389340781837832,0.15384806469009224,0.00031796836904549107,3,49,50
T,0.06876466356517148,0,0,0,0,0
# --- 34.9818959236145 seconds ---
