# {'seed': 773469, 'leaf_prob': 0.1, 'mutation_prob': 0.3, 'swap_terminal_prob': 0.5, 'swap_operator_prob': 0.5, 'crossover_prob': 0.9, 'population_size': 100, 'tournament_size': 2, 'elitism_size': 1, 'max_generations': 100, 'max_depth': 7, 'verbose': True, 'dataset': <Datasets.BREAST_CANCER: 'breast_cancer_coimbra'>}
Generation,BestFit,AvgFit,WorstFit,Repetitions,ChildImproved,ChildWorsened
G0,0.07190575805002825,0.021007711767436828,0.00018744445845371883,4,47,52
G1,0.08687012205069386,0.024377367869054006,0.00031796836904549107,3,47,52
G2,0.08687012205069386,0.02549032775604794,0.00048318135702285925,3,51,48
G3,0.08687012205069386,0.0274608316752256,0.00031796836904549107,2,51,48
G4,0.08687012205069386,0.02874577746906337,0.00048318135702285925,1,48,51
G5,0.08687012205069386,0.02864148896199394,0.00031796836904549107,1,56,43
G6,0.08687012205069386,0.03403146300741843,0.00048318135702285925,2,52,47
G7,0.08687012205069386,0.03840583011362817,0.0017472033477151472,0,55,44
G8,0.08687012205069386,0.043403623522067815,0.00018744445845371883,2,55,44
G9,0.08687012205069386,0.04571069485880383,0.00031796836904549107,1,50,49
G10,0.08687012205069386,0.04880436940787607,0.00043746016120260685,1,49,50
G11,0.14152234824124107,0.04661240726098418,5.514778287443675e-06,0,52,47
G12,0.14152234824124107,0.04812856292349475,0.00048318135702285925,0,53,46
G13,0.14152234824124107,0.05422778497926614,0.00018744445845371883,1,55,44
G14,0.14152234824124107,0.0626621989609758,0.00048318135702285925,1,52,47
G15,0.14152234824124107,0.06717634803530535,0.00048318135702285925,0,55,44
G16,0.14152234824124107,0.07406358346814193,1.356957979045803e-05,1,52,47
G17,0.14152234824124107,0.08043494986650183,0.003156664805838329,1,40,59
G18,0.14152234824124107,0.07853761177746867,0.00048318135702285925,1,50,49
G19,0.14152234824124107,0.08535097045184983,0.00031796836904549107,0,52,47
G20,0.14152234824124107,0.08973392438995488,0.00048318135702285925,2,55,44
G21,0.14152234824124107,0.09813670643261661,0.004828518802107134,0,56,43
G22,0.14152234824124107,0.10299241067792426,2.5383490428103392e-05,5,49,50
G23,0.14152234824124107,0.10151892055040188,4.09297286671355e-05,0,53,46
G24,0.14152234824124107,0.10660681128071983,0.00048318135702285925,2,45,54
G25,0.14152234824124107,0.1067396894951595,0.0009036810677518624,1,39,60
G26,0.14152234824124107,0.10920706669590931,0.00048318135702285925,7,42,57
G27,0.14152234824124107,0.10701351340748202,0.00048318135702285925,1,40,59
G28,0.14152234824124107,0.10640609287118954,0.00048318135702285925,0,41,58
G29,0.14152234824124107,0.10096703010334218,0.00048318135702285925,0,32,67
G30,0.14152234824124107,0.08918142915825564,0.00048318135702285925,0,59,40
G31,0.14152234824124107,0.096490972512215,0.00020485392158005666,1,51,48
G32,0.14152234824124107,0.10053672858618105,0.008868197423195136,1,42,57
G33,0.14152234824124107,0.09176344720757502,0.00048318135702285925,0,50,49
G34,0.14152234824124107,0.09942495687992288,0.001668923246851492,5,50,49
G35,0.14152234824124107,0.09507351013421868,0.00031796836904549107,1,44,55
G36,0.14152234824124107,0.09247518497391254,0.00031796836904549107,0,46,53
G37,0.14152234824124107,0.09167572881239675,0.00048318135702285925,0,46,53
G38,0.14152234824124107,0.09227164649483573,0.00031796836904549107,1,42,57
G39,0.14152234824124107,0.08846048194692616,0.00031796836904549107,1,48,51
G40,0.14152234824124107,0.09702341676375138,0.00048318135702285925,0,48,51
G41,0.14152234824124107,0.09741373274076923,0.00048318135702285925,0,42,57
G42,0.14152234824124107,0.09191766140243614,4.09297286671355e-05,0,51,48
G43,0.14152234824124107,0.09937390178952006,0.00048318135702285925,1,46,53
G44,0.14152234824124107,0.09371087530165627,0.00048318135702285925,0,44,55
G45,0.14152234824124107,0.08927438337695005,0.00048318135702285925,0,52,47
G46,0.14152234824124107,0.09615521244915128,1.356957979045803e-05,0,57,42
G47,0.158915333219876,0.10181271413540197,0.00048318135702285925,1,54,45
G48,0.158915333219876,0.10300837089954702,0.00048318135702285925,2,50,49
G49,0.158915333219876,0.10046582727468847,0.00048318135702285925,0,55,44
G50,0.158915333219876,0.10752095848237465,0.00048318135702285925,3,50,49
G51,0.158915333219876,0.1101399047451649,0.00048318135702285925,1,45,54
G52,0.158915333219876,0.10049732983783494,0.00048318135702285925,1,44,55
G53,0.158915333219876,0.0970953818772007,0.00048318135702285925,0,45,54
G54,0.158915333219876,0.09498848513461472,0.00048318135702285925,1,58,41
G55,0.158915333219876,0.10538653133108243,0.008868197423195136,2,52,47
G56,0.158915333219876,0.10710464760254856,0.00048318135702285925,0,50,49
G57,0.158915333219876,0.10753894855999685,4.09297286671355e-05,3,47,52
G58,0.17607709590189274,0.10100611922548802,0.00048318135702285925,0,52,47
G59,0.17607709590189274,0.10663013902990678,0.00048318135702285925,3,44,55
G60,0.17607709590189274,0.10892377024434749,0.00048318135702285925,3,44,55
